channelID	time	energy	tot
46	672722650680	4.39959	304320
343	672722649118	16.9854	300881
35	672778857460	4.40208	302540
349	672778857080	4.69683	302920
35	672788162812	2.26421	302188
349	672788167487	1.58752	307513
343	672825754742	4.80047	300258
46	672825756071	3.16234	303928
349	672830320743	6.15871	299257
35	672830335119	1.1016	304881
349	672884628813	6.00277	301186
35	672884637732	1.45477	302267
46	672921126053	16.539	298946
343	672921129385	2.4907	305614
35	673071189356	11.1728	300644
349	673071189680	6.24108	300319
35	673094025756	11.4861	299244
349	673094026158	4.81548	303841
343	673176230470	8.67329	299529
46	673176237118	1.13745	302882
35	673213213801	9.6771	301198
349	673213220680	1.43871	304320
343	673220960091	1.69926	304908
46	673220960862	1.63522	304137
342	673309416170	4.94057	303829
47	673309426986	1.49857	303013
343	673332979135	17.0869	300864
46	673332986913	1.83321	303086
35	673500646035	7.89811	298965
349	673500655358	1.68827	304641
343	673546235184	3.72792	299815
46	673546235136	7.32876	299863
46	673580352169	1.4375	302831
343	673580347856	7.39576	302144
47	673663782268	31.7635	297732
342	673663783364	7.72101	301636
35	673663784809	2.88182	300190
45	673663787092	3.06065	302908
343	673731575409	1.37982	304590
46	673731579464	1.67999	305536
349	673762605655	2.7973	304345
35	673762620337	1.40869	304663
349	673799378222	2.11213	306777
35	673799382337	1.74311	302662
47	673904755239	1.76189	304760
342	673904752329	3.04498	302671
47	674089050459	3.73306	304541
342	674089065547	1.2194	304453
35	674121364172	4.07263	300827
349	674121369001	1.67368	305998
46	674157522838	3.35717	302161
343	674157522600	5.47256	302399
35	674281025153	3.24204	299846
349	674281023012	5.41615	301987
343	674516886956	3.22475	303043
46	674516901945	1.61123	303054
343	674599226420	21.6426	298579
46	674599229769	3.11996	305231
343	675033548342	1.43209	306658
46	675033559938	1.22577	305061
342	675105225023	15.9978	299976
47	675105228264	2.57692	301736
343	675304300280	5.35908	299720
46	675304302434	3.42761	302565
349	675478677548	11.836	302452
35	675478691023	1.26016	303977
349	675495526658	2.78233	303341
35	675495538638	1.24049	306361
349	675771324505	1.9866	305495
35	675771323200	1.7784	306800
35	675788877388	5.30643	302611
349	675788881097	2.03716	303902
47	676153403575	8.28571	301424
342	676153403694	4.25996	301305
47	676276272076	3.85035	302923
342	676276272640	2.73901	307360
349	676291345203	3.04383	304797
35	676291362337	1.31027	302662
46	676490012325	1.706	302675
343	676490025028	1.53395	304972
46	676732462466	2.98981	302534
343	676732461264	4.3236	303735
47	676797525579	6.93064	299420
46	676797526244	2.60039	303756
342	676797528078	2.36047	306922
349	677017108852	2.50165	306147
35	677017119050	1.07708	305949
342	677070633408	15.9805	301591
47	677070640582	1.71902	304418
343	677075880566	8.22087	299434
46	677075890289	1.07324	304711
46	677117627534	3.41693	302466
343	677117627345	5.42045	302655
47	677296587475	13.4871	297525
342	677296588281	4.36042	301718
35	677296607761	0.963928	302239
342	677429041648	3.54827	303351
45	677429042865	4.39539	302134
47	677429039874	22.6575	300126
35	677429041812	1.65902	303187
46	677486526769	25.9809	298231
343	677486527653	5.91983	302346
349	677536471575	4.06234	303425
35	677536472337	5.04783	302662
343	677746080015	2.60516	304985
46	677746079864	6.40055	300135
46	677898039450	13.5054	300550
343	677898044260	2.00045	305740
343	677968354469	7.21202	300530
46	677968359991	2.04744	305008
349	678063347250	13.497	302749
35	678063350664	1.86367	304335
35	678196688076	7.92337	301923
349	678196688222	2.75158	306777
342	678217749488	2.47509	305512
47	678217748735	4.81258	301264
47	678226736739	17.5076	298261
342	678226739737	2.45888	305263
35	678226746782	0.976669	303218
45	678226745522	1.42598	304478
343	678404440756	21.4941	299243
46	678404443981	1.92894	306018
341	678404455106	0.950947	304893
35	678584981934	15.6769	298065
47	678584980034	6.22798	304966
349	678584983905	2.24905	306095
33	678584992883	0.628986	307116
342	678584997566	1.55427	307433
47	678595078128	1.40475	301872
342	678595082141	1.77074	302858
35	678624292087	10.8193	297913
349	678624292757	2.12555	307242
35	678691730577	5.99279	299423
349	678691731103	3.16568	303896
342	678794926076	6.57632	298924
47	678794926064	13.6231	298936
46	678823105200	2.49727	304799
343	678823103176	6.28975	301823
349	678871891129	11.3887	298871
35	678871891721	8.86929	298279
349	678887243921	6.34844	301079
35	678887243638	10.8343	301361
343	678904034153	5.05626	300847
46	678904035763	3.84671	304237
349	678928851755	10.9498	298244
35	678928856580	1.87164	303419
349	678950391956	3.90956	303044
35	678950399888	1.46714	305111
349	678952640446	6.54188	299554
35	678952642026	4.30741	302974
46	679117029816	7.26472	300183
343	679117033397	2.06242	306602
35	679126258666	2.72615	301334
349	679126257548	4.09615	302452
47	679188121721	5.80112	298278
